highway,geometry,historic,name,name:ca,wikidata,wikipedia,barrier,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,entrance,man_made,material,date,wheelchair,fee,name:de,name:fr,name:it,name:ru,name:zh,tourism,description,height,operator,start_date,website,access,building:material,disused,building,military,reservation,ruins,bunker_type,name:es,opening_hours,phone,ele,architect:wikidata,architect:wikipedia,archaeological_site,megalith_type,site_type,source,amenity,bottle,image,image:0,image:1,name:en,historic:civilization,note,wikimedia_commons,level,nodes,surface,government,name:etymology:wikidata,architect,castle_type,contact:email,contact:fax,contact:phone,end_date,name:ko,old_name,area,name:ja,name:pl,addr:province,fee:conditional,alt_name,building:levels,building:levels:underground,designation,roof:orientation,roof:shape,opening_hours:url,stars,contact:website,layer,heritage,heritage:operator,name:he,ref:whc,whc:inscription_date,network,building:shape,building:height,protection_title,protection_title:category,ref:bic,brand,rooms,building:architecture,capacity,ref,bridge,wall,building:use,check_date,ref:ipac,disused:building,construction_year,year_of_construction,brand:wikidata,brand:wikipedia,min_height,ways,office,type,construction_date,building:part,artwork_type,building:colour,email,fixme,facebook,twitter,information
,POINT (2.1754247 41.3840055),city_gate,Portal del Bisbe,Portal del Bisbe,Q11942461,ca:Portal del Bisbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2048344 41.4014601),yes,Xemeneia de Can Saladrigas,Xemeneia de Can Saladrigas,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1913167 41.3923502),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1947843 41.3877244),yes,Xemeneia de Can Folch,,Q11911621,ca:Can Folch,,,,,,,,chimney,brick,1898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1947097 41.4033825),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.16139 41.4192405),archaeological_site,Runes de cases autoconstruïdes dels anys 50,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1771692 41.3833619),archaeological_site,Temple d'August,Temple d'August,Q3819019,ca:Temple d'August de Barcelona,,,,10,8002.0,Carrer del Paradís,,,,,limited,no,Augustus-Tempel,Temple d'augyst,Corte antica,Римские колонны 1в. н.э.,奧古斯都神廟,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.148702 41.3875079),yes,Xemeneia,,,,,,,,,,,chimney,brick,,,,,,,,,,"Es va construir a la dècada de 1870, pel mestre d’obres valencià Rafael Guastavino. Es tracta d’una de les xemeneies més altes de Catalunya i s’hi van fer servir més de 244.000 maons de 29,5 x 14,5 x 6 cm.",60.0,Diputació de Barcelona,1870.0,https://www.diba.cat/web/recintes/xemeneia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1749385 41.3837445),citywalls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1944788 41.4116455),yes,,,,,,,,,,,,chimney,,,,,,,,,,,,15.0,,,,,brick,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1915577 41.4089381),yes,,,,,,,,,,,,chimney,,,,,,,,,,,,,,,,,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1909457 41.4096142),yes,,,,,,,,,,,,chimney,,,,,,,,,,,,,,,,,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.167469 41.3765802),archaeological_site,Reina Amàlia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1666274 41.3714368),yes,Refugi 307,Refugi 307,Q6103595,ca:Refugi 307,,,,,,,,,,,,,,,,,城市历史博物馆,museum,,,MUHBA,1937.0,http://ajuntament.barcelona.cat/museuhistoria/muhba-refugi-307,yes,,,bunker,bunker,required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1910823 41.4219693),yes,Xemeneia de la Sagrera,Xemeneia de la Sagrera,,,,,,,,,,chimney,brick,,,,,,,,,,Chimenea de lo que fue una fábrica de sombreros en conmemoración a las fábricas que se situaban en lo que hoy es la Sagrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.14785 41.3561687),castle,Castell de Port,Castell de Port,Q22893363,ca:Castell de Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1949447 41.4063237),yes,,,,,,,,,,,,chimney,,,,,,,,,,,,,,,,,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2038931 41.4015267),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1963993 41.3999712),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2003176 41.4077386),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2038931 41.4098113),yes,,,,,,,,,,,,chimney,,,,,,,,,,,,,,,,,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2078415 41.4168927),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2096679 41.4165126),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2029898 41.4123744),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1931325 41.3899301),archaeological_site,Fita delimitadora del terme municipal de Barcelona i Sant Martí. Abans de 1897,Fita delimitadora del terme municipal de Barcelona i Sant Martí. Abans de 1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2043639 41.4195842),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1560573 41.4040737),yes,Refugi Antiaeri de la Plaça del Diamant,,,,,,,,8012.0,,,,,,no,yes,,,,,,attraction,,,,,https://guia.barcelona.cat/detall/visites-guiades-al-refugi-antiaeri-de-la-placa-del-diamant_99400176077.html,,,,,bunker,required,,bomb_shelter,Refugio Antiaéreo de la Plaça del Diamant,Su 11:00+;PH off,+34932196134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1438871 41.3729578),yes,Xemeneia de l'antiga Fábrica La Porcelana,,Q47170852,ca:Xemeneia de l'antiga Fábrica La Porcelana,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.143197 41.4421625),castle,Ruïnes del Castell Fortí,Ruïnes del Castell Fortí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1631493 41.3778541),yes,Xemeneia Tardà,,Q116977320,ca:Xemeneia Tardà,,,,,,,,chimney,brick,,,,,,,,,,,,"Dulces Tardá, S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1915835 41.3949873),building,Casa Antònia Serra i Mas,,,,,,,,,,,,,,,,,,,,,attraction,,,,,,,,,,,,,,,,,,Q11283044,ca:Ramon Puig i Gairalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1750417 41.3748588),city_gate,Porta de Santa Madrona,,,,,,,,,,yes,,,,,no,,,,,,,,,,,http://mmb.cat/activitats/obertura-del-portal-de-santa-madrona-i-jardins-del-baluard/,,,,,,,,,,"Su[1,3-4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1541198 41.3829479),yes,xemeneia antiga fàbrica Lehmann,,,,,,,,,,,chimney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1982425 41.4087641),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1955367 41.4290012),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1790995 41.3861053),archaeological_site,Espai Santa Caterina,Espai Santa Caterina,,,,,,,,,,,,,,,,,,,,,,,MUHBA,,https://ajuntament.barcelona.cat/museuhistoria/ca/muhba-santa-caterina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2074518 41.4122443),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.15792 41.370055),archaeological_site,Dolmen de la Vinya Monera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,megalith,menhir,megalith,http://dolmensmenhirs.blogspot.com/2014/06/dolmen-vinya-monera-barcelones.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1884438 41.3906125),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1829028 41.4170509),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2033944 41.4116126),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2033262 41.4119761),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.187202 41.4404863),yes,Can Galta Cremat,Can Galta Cremat,,,,,,,,,,chimney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1913175 41.4226523),yes,Font de Can Gaig,Font de Can Gaig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drinking_water,yes,https://i.imgur.com/45tNeVn.jpg,https://i.imgur.com/1C4LQGD.jpg,https://i.imgur.com/Ww9lN7T.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.2017375 41.3977712),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1805865 41.3802748),archaeological_site,,,Q3298639,en:History of Barcelona#Roman Barcino,,,,,,,,,,,,,,,,,,,"During the restoration of the building, archaeologists discovered part of the dock of the city of Barcino dating from the first century A.D., which remains underneath the hotel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Dock of Barcino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1379028 41.36773),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1435631 41.3520238),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1916953 41.3819413),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1473456 41.3753014),archaeological_site,Diposit s.XIX,,,,,,,,,,,,,,,,,,,,,,"Durant les obres d’obertura i urbanització del tram del carrer de la Diputació, entre el carrer de Tarragona i el carrer de la Creu Coberta, s'ha localitzat un dipòsit al subsòl. En el moment de la troballa, el dipòsit, amb una capacitat d'uns 58.000 litr",,,,,no,,,,,,,,,,,,,,industrial,,industrial,local knowledge,,,http://el3.cat/wp-content/uploads/2018/02/descobertadipositsoterratobrescarrerdiputaciohostafrancsfebrer2018-03.jpg,,,,modern,https://ajuntament.barcelona.cat/instituturbanisme/ca/noticia/localitzat-un-diposit-singular-del-segle-xix-a-creu-coberta_606017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1388929 41.3746702),church,Capella del Sant Crist de Sants,Capella del Sant Crist de Sants,Q21789755,ca:Capella del Sant Crist de Sants,,,,,,,,,,,,,,,,,,,La Capella del Sant Crist és l'edifici religiós més antic del barri de Sants de Barcelona. Hi ha documents del 1694 que la mencionen dins dels terrenys anomenats pessa del Santo Christo propietat del noble Josep de Novell i Nadal. Amb el temps el terreny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File:Sant Crist Façana.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1959422 41.3989983),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1257189 41.3829216),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1705464 41.3765735),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,28.0,Xemeneia de la fàbrica Santaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1775023 41.4096258),yes,,,,,,,,,,,,chimney,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (2.1906489 41.3811825),city_gate,La Maquinista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
